iter	Passed	Remaining
728	18597	6913
729	18623	6888
730	18635	6857
731	18659	6831
732	18682	6805
733	18711	6781
734	18739	6756
735	18772	6733
736	18806	6711
737	18837	6687
738	18865	6662
739	18891	6637
740	18915	6611
741	18935	6583
742	18958	6557
743	18986	6533
744	19009	6506
745	19024	6477
746	19057	6454
747	19095	6433
748	19133	6411
749	19150	6383
750	19190	6362
751	19221	6338
752	19249	6314
753	19281	6290
754	19308	6265
755	19339	6241
756	19371	6218
757	19401	6194
758	19427	6168
759	19451	6142
760	19474	6116
761	19496	6089
762	19520	6063
763	19542	6036
764	19567	6011
765	19590	5984
766	19615	5958
767	19639	5932
768	19655	5904
769	19678	5878
770	19689	5847
771	19711	5821
772	19726	5792
773	19752	5767
774	19775	5741
775	19785	5711
776	19803	5683
777	19825	5657
778	19849	5631
779	19871	5604
780	19892	5578
781	19915	5551
782	19942	5526
783	19979	5504
784	20007	5479
785	20038	5455
786	20064	5430
787	20093	5405
788	20123	5381
789	20155	5357
790	20179	5332
791	20211	5308
792	20226	5279
793	20259	5256
794	20284	5230
795	20316	5206
796	20363	5186
797	20389	5161
798	20423	5137
799	20442	5110
800	20506	5094
801	20544	5072
802	20581	5049
803	20618	5026
804	20650	5002
805	20690	4980
806	20710	4953
807	20741	4928
808	20776	4905
809	20807	4880
810	20848	4858
811	20882	4834
812	20914	4810
813	20948	4786
814	20986	4763
815	21020	4739
816	21048	4714
817	21077	4689
818	21114	4666
819	21145	4641
820	21171	4615
821	21193	4589
822	21222	4564
823	21251	4539
824	21282	4514
825	21300	4486
826	21342	4464
827	21385	4442
828	21430	4420
829	21458	4395
830	21509	4374
831	21548	4351
832	21585	4327
833	21656	4310
834	21698	4287
835	21749	4266
836	21780	4241
837	21818	4217
838	21859	4194
839	21890	4169
840	21931	4146
841	21963	4121
842	22004	4098
843	22025	4071
844	22051	4045
845	22085	4020
846	22115	3994
847	22148	3970
848	22175	3944
849	22200	3917
850	22228	3891
851	22246	3864
852	22269	3837
853	22301	3812
854	22320	3785
855	22351	3760
856	22363	3731
857	22390	3705
858	22406	3677
859	22437	3652
860	22460	3626
861	22486	3599
862	22515	3574
863	22537	3547
864	22560	3521
865	22583	3494
866	22605	3467
867	22620	3439
868	22641	3413
869	22667	3387
870	22693	3361
871	22716	3334
872	22727	3306
873	22755	3280
874	22787	3255
875	22814	3229
876	22836	3202
877	22850	3175
878	22860	3146
879	22884	3120
880	22907	3094
881	22930	3067
882	22955	3041
883	22979	3015
884	23001	2988
885	23034	2963
886	23062	2938
887	23093	2912
888	23109	2885
889	23123	2857
890	23152	2832
891	23180	2806
892	23208	2780
893	23238	2755
894	23266	2729
895	23290	2703
896	23320	2677
897	23350	2652
898	23382	2626
899	23399	2599
900	23431	2574
901	23443	2547
902	23468	2520
903	23505	2496
904	23533	2470
905	23553	2443
906	23565	2416
907	23595	2390
908	23621	2364
909	23645	2338
910	23677	2313
911	23704	2287
912	23733	2261
913	23757	2235
914	23780	2209
915	23791	2181
916	23821	2156
917	23854	2130
918	23888	2105
919	23916	2079
920	23955	2054
921	23979	2028
922	24013	2003
923	24043	1977
924	24056	1950
925	24079	1924
926	24103	1898
927	24126	1871
928	24149	1845
929	24164	1818
930	24179	1791
931	24203	1765
932	24234	1740
933	24264	1714
934	24295	1688
935	24318	1662
936	24341	1636
937	24363	1610
938	24386	1584
939	24406	1557
940	24438	1532
941	24472	1506
942	24508	1481
943	24532	1455
944	24542	1428
945	24561	1402
946	24588	1376
947	24599	1349
948	24626	1323
949	24656	1297
950	24687	1272
951	24707	1245
952	24736	1219
953	24768	1194
954	24796	1168
955	24824	1142
956	24854	1116
957	24889	1091
958	24923	1065
959	24959	1039
960	24986	1014
961	25018	988
962	25032	961
963	25059	935
964	25089	909
965	25113	883
966	25138	857
967	25160	831
968	25185	805
969	25212	779
970	25228	753
971	25252	727
972	25261	700
973	25286	674
974	25308	648
975	25331	622
976	25353	596
977	25379	570
978	25403	544
979	25435	519
980	25458	493
981	25482	467
982	25506	441
983	25531	415
984	25554	389
985	25580	363
986	25602	337
987	25625	311
988	25646	285
989	25668	259
990	25690	233
991	25712	207
992	25742	181
993	25765	155
994	25787	129
995	25810	103
996	25831	77
997	25856	51
998	25878	25
999	25902	0
